ISO;Policy;Module;Year;raw_indicator;note
ARG;Financial support;Transport;2012;1;
AUS;Taxation;Transport;2010;2;
AUT;Financial support;Transport;2017;3;
AUT;Financial support;Transport;2019;4;
BGR;Financial support;Transport;2018;5;
BRA;Financial support;Transport;2014;6;
BRA;Financial support;Transport;2018;7;
CAN;Financial support;Transport;2009;8;
CHN;Financial support;Transport;2008;9;
CHN;Financial support;Transport;2010;10;
CHN;Financial support;Transport;2014;11;
CHN;Financial support;Transport;2015;12;
CHN;Financial support;Transport;2020;13,14;
CZE;Financial support;Transport;2017;15;
DEU;Financial support;Transport;2009;16,17,19;
DEU;Taxation;Transport;2009;18;
DEU;Financial support;Transport;2016;20;
DEU;Financial support;Transport;2017;21;
DEU;Financial support;Transport;2019;22;
DEU;Financial support;Transport;2020;23;
DEU;Taxation;Transport;2020;24;
DNK;Taxation;Transport;2015;25,26;
DNK;Financial support;Transport;2017;27,28;
DNK;Taxation;Transport;2017;29;
ESP;Financial support;Transport;2008;30;
ESP;Taxation;Transport;2008;31;
ESP;Financial support;Transport;2011;32;
ESP;Financial support;Transport;2012;33;
ESP;Financial support;Transport;2013;34,35;
ESP;Financial support;Transport;2015;36;
ESP;Financial support;Transport;2017;37,38;
ESP;Taxation;Transport;2017;39;
ESP;Financial support;Transport;2019;40;
ESP;Financial support;Transport;2020;41;
EST;Financial support;Transport;2014;42;
FIN;Taxation;Transport;2008;43;
FIN;Financial support;Transport;2020;44;
FRA;Taxation;Transport;2005;45;
FRA;Financial support;Transport;2008;46,48;
FRA;Taxation;Transport;2008;47;
FRA;Financial support;Transport;2017;49,5;
FRA;Taxation;Transport;2019;51;
FRA;Financial support;Transport;2020;52;
GBR;Taxation;Transport;2001;53;
GBR;Taxation;Transport;2002;54;
GBR;Financial support;Transport;2017;55,56,58;
GBR;Taxation;Transport;2017;57;
GRC;Taxation;Transport;2010;59;
GRC;Financial support;Transport;2017;60;
HUN;Financial support;Transport;2017;61,62;
IDN;Financial support;Transport;2017;63;
IND;Financial support;Transport;2016;64;
IRL;Financial support;Transport;2017;65,66,67;
IRL;Taxation;Transport;2019;68;
ISL;Financial support;Transport;2017;69;
ISL;Taxation;Transport;2017;70;
ITA;Financial support;Transport;2009;71;
ITA;Financial support;Transport;2017;72,73,74;
ITA;Financial support;Transport;2019;75,76,77,78;
ITA;Financial support;Transport;2020;79;
JPN;Financial support;Transport;2009;80,81,82;
JPN;Financial support;Transport;2015;83;
JPN;Financial support;Transport;2020;84;
KOR;Financial support;Transport;2012;85;
KOR;Financial support;Transport;2015;86;
KOR;Financial support;Transport;2016;87;
LTU;Taxation;Transport;2017;88;
LTU;Financial support;Transport;2020;89;
LUX;Financial support;Transport;2017;90;
LUX;Financial support;Transport;2018;91;
LVA;Financial support;Transport;2017;92,93;
MEX;Financial support;Transport;2016;94,95;
MEX;Financial support ;Transport;2017;96;
MEX;Financial support;Transport;2019;97;
MLT;Financial support;Transport;2017;98,99,100;
NLD;Financial support;Transport;2015;101;
NLD;Financial support;Transport;2016;102;
NLD;Financial support;Transport;2019;103;
NOR;Financial support;Transport;2000;104;
NOR;Financial support;Transport;2009;105;
NOR;Financial support;Transport;2015;106;
NOR;Financial support;Transport;2018;107;
NZL;Financial support;Transport;2016;108;
POL;Financial support;Transport;2020;109,11;
PRT;Financial support;Transport;2007;111;
PRT;Financial support;Transport;2016;112;
PRT;Financial support ;Transport;2017;113;
PRT;Financial support;Transport;2019;114;
ROU;Financial support;Transport;2017;115,117;
ROU;Taxation;Transport;2017;116;
RUS;Financial support;Transport;2020;118;
SVK;Financial support;Transport;2017;119;
SVN;Financial support;Transport;2006;120;
SVN;Financial support;Transport;2012;121;
SWE;Financial support;Transport;2002;122;
SWE;Financial support;Transport;2007;123;
SWE;Financial support;Transport;2010;124;
SWE;Financial support;Transport;2018;125,127;
SWE;Taxation;Transport;2018;126;
TUR;Financial support;Transport;2011;128;
TUR;Financial support;Transport;2016;129;
TUR;Taxation;Transport;2016;130;
TUR;Taxation;Transport;2018;131;
USA;Financial support;Transport;2006;132;
USA;Financial support;Transport;2009;133,134;
USA;Financial support;Transport;2010;135;
ZAF;Taxation;Transport;2010;136;
BEL;Financial support;Building;2007;137;
BEL;Financial support;Building;2004;138,139;
BEL;Financial support;Building;2009;140,141;
CAN;Financial support;Building;2007;142;
CHE;Financial support;Building;2010;143;
CZE;Financial support;Building;2001;144;
DEU;Financial support;Building;2020;145,146;
DEU;Financial support;Building;2009;147;
ESP;Financial support;Building;2017;148;
ESP;Financial support;Building;2013;149,150,151;we have a jump from 14 to 15 in financing mechanism buildings in 2014
EST;Financial support;Building;2019;152,153;
FRA;Financial support;Building;2009;154;
FRA;Financial support;Building;2001;155;
FRA;Financial support;Building;2002;156,157;
FRA;Financial support;Building;2004;158;
FRA;Financial support;Building;2005;159;
FRA;Financial support;Building;2009;160;
FRA;Financial support;Building;2014;161;
FRA;Financial support;Building;2018;162;
HUN;Financial support;Building;2006;163;
HUN;Financial support;Building;2000;164;
ITA;Financial support;Building;2016;165;the 2014 jump was correted from 6 to 10 in stringency but I guess that does not really affect this
ITA;Financial support;Building;2020;166;
JPN;Financial support;Building;2002;167;
KOR;Financial support;Building;2005;168;
LTU;Financial support;Building;2020;169;
LUX;Financial support;Building;2013;170;
NLD;Financial support;Building;2014;171,172;we get a jump in financing mechanism buildilngs in 2016 -> is that it? No break in NLD though
NOR;Financial support;Building;2002;173;
SWE;Financial support;Building;2016;174;
SWE;Financial support;Building;2004;175;
SWE;Financial support;Building;2006;176;
USA;Financial support;Building;2006;177,178;
USA;Financial support;Building;2014;179;
ZAF;Financial support;Building;2009;180;
CZE;Financing mechanism;Industry;2007;184;
DEU;Congestion charge;Transport;2005;186;
POL;Subsidy;Transport;2013;187, 188;
COL;MEPS;Transport;2008;189;
BGR;Financing mechanism;Industry;2008;190;
FRA;Carbon tax;Industry;2014;191;
FRA;Carbon tax;Industry;2017;192;
ARG;Carbon tax;Buildings;2018;193;
COL;Renewable subsidy;Electricity;2002;194;
COL;Renewable expansion;Electricity;2012;;
KOR;Financing mechanism;Industry;2004;;
BEL;Financing mechanism;Industry;2004;;
BEL;Financing mechanism;Industry;2002;;
ROU;Vehicle tax;Transport;2003;;
ROU;Vehicle tax;Transport;2007;;
NOR;BuildingEnergyCodes;Buildings;2016;blank breaks Nico;
NOR;Financial support;Buildings;2013;blank breaks Nico;
NOR;Financial support;Buildings;2017;blank breaks Nico;
USA;MEPS;Transport;2007;additional data Nico;
